Order ID,Contract Number,Client Name,Client Region,Delivery Country,Division,Product Category,Defense Platform,Serial Number,Order Date,Scheduled Delivery Date,Actual Delivery Date,Delivery Status,Unit Price USD,Quantity Ordered,Total Contract Value USD,Production Cost USD,Gross Margin USD,Quality Control Score,Security Clearance Level,Warranty Period Months
ORD-10000,ALPHA-CNT-2023-458,Ministry of Defense - Brazil,LATAM,Brazil,Aerospace Systems,Flight Control Radar,Maritime,SN-ALPHA-740524,30/1/2025,29/3/2025,,Under Testing,1411425,48,67748400,41495435.85,26252964.15,96.37,Level 3 Top Secret,24
ORD-10001,ALPHA-CNT-2024-362,Ministry of Defense - Canada,North America,Canada,Naval Technology,Submarine Communications Module,Airborne,SN-ALPHA-305438,18/10/2024,23/11/2024,18/11/2024,Delivered On Time,242994,2,485988,276206.91,209781.09,92.79,Level 2 Restricted,24
ORD-10002,ALPHA-CNT-2025-905,Ministry of Defense - USA,North America,USA,Tactical Avionics,Tactical Data Link,Ground Tactical,SN-ALPHA-296653,20/10/2024,28/1/2025,18/1/2025,Delivered On Time,1476420,32,47245440,33817651.08,13427788.92,98.95,Level 3 Top Secret,60
ORD-10003,ALPHA-CNT-2023-210,Ministry of Defense - Canada,North America,Canada,Aerospace Systems,Recon Surveillance Drone,Ground Tactical,SN-ALPHA-226611,2/9/2023,3/12/2023,,Under Testing,910346,8,7282768,5089501.19,2193266.81,95.74,Level 2 Restricted,12
ORD-10004,ALPHA-CNT-2024-837,Ministry of Defense - Canada,North America,Canada,Cyber Security,Quantum Cipher Hardware,Maritime,SN-ALPHA-993590,4/6/2023,30/8/2023,19/10/2023,Delivered Delayed,1100457,22,24210054,15828204.38,8381849.62,89.08,Level 2 Restricted,36
ORD-10005,ALPHA-CNT-2025-101,Ministry of Defense - Japan,Asia Pacific,Japan,Naval Technology,Submarine Communications Module,Maritime,SN-ALPHA-511981,19/2/2024,24/4/2024,17/4/2024,Delivered On Time,359509,6,2157054,1414052.56,743001.44,99.28,Level 2 Restricted,36
ORD-10006,ALPHA-CNT-2023-149,Ministry of Defense - Australia,Asia Pacific,Australia,Cyber Security,Threat Intelligence Node,Maritime,SN-ALPHA-326061,6/11/2023,1/1/2024,1/3/2024,Delivered Delayed,1177787,12,14133444,10547308.44,3586135.56,91.08,Level 1 Standard,24
ORD-10007,ALPHA-CNT-2024-495,Ministry of Defense - Australia,Asia Pacific,Australia,Aerospace Systems,Jet Engine Turbine Component,Maritime,SN-ALPHA-579247,17/12/2025,4/6/2026,,In Production,1037626,47,48768422,29208781.26,19559640.74,92.01,Level 1 Standard,24
ORD-10008,ALPHA-CNT-2025-548,Ministry of Defense - Brazil,LATAM,Brazil,Cyber Security,Encrypted Comms Server,Maritime,SN-ALPHA-964607,20/11/2025,11/1/2026,19/2/2026,Delivered Delayed,1254654,40,50186160,37893729.08,12292430.92,92.79,Level 3 Top Secret,60
ORD-10009,ALPHA-CNT-2023-850,Ministry of Defense - Chile,LATAM,Chile,Cyber Security,Encrypted Comms Server,Digital Command,SN-ALPHA-919378,2/1/2024,19/5/2024,26/5/2024,Delivered Delayed,1401918,36,50469048,35943388.71,14525659.29,88.61,Level 2 Restricted,48
ORD-10010,ALPHA-CNT-2024-529,Ministry of Defense - Brazil,LATAM,Brazil,Aerospace Systems,Recon Surveillance Drone,Maritime,SN-ALPHA-299836,7/6/2025,15/7/2025,,In Production,990335,15,14855025,9726215.37,5128809.63,93.91,Level 1 Standard,12
ORD-10011,ALPHA-CNT-2025-270,Ministry of Defense - Germany,Europe,Germany,Tactical Avionics,Night Vision Targeting System,Airborne,SN-ALPHA-851606,19/10/2025,25/11/2025,16/11/2025,Delivered On Time,1009820,28,28274960,18788913.2,9486046.8,89.47,Level 3 Top Secret,48
ORD-10012,ALPHA-CNT-2023-523,Ministry of Defense - Chile,LATAM,Chile,Cyber Security,Encrypted Comms Server,Ground Tactical,SN-ALPHA-454349,20/10/2025,12/12/2025,11/12/2025,Delivered On Time,1325779,49,64963171,39897898.15,25065272.85,92.77,Level 3 Top Secret,48
ORD-10013,ALPHA-CNT-2024-604,Ministry of Defense - Australia,Asia Pacific,Australia,Cyber Security,Encrypted Comms Server,Airborne,SN-ALPHA-213000,27/2/2023,23/5/2023,12/6/2023,Delivered Delayed,769846,45,34643070,25567575.87,9075494.13,92.17,Level 3 Top Secret,24
ORD-10014,ALPHA-CNT-2025-487,Ministry of Defense - South Korea,Asia Pacific,South Korea,Tactical Avionics,Tactical Data Link,Airborne,SN-ALPHA-893928,11/6/2023,8/9/2023,,In Production,1138129,18,20486322,13894206.38,6592115.62,97.2,Level 3 Top Secret,24
